variable 1,variable 2,correlation,correlation_label
popularity,danceability,0.003690463232587653,0.00
popularity,energy,0.09878351938200558,0.10
popularity,key,-0.016132315721061257,-0.02
popularity,loudness,0.27870530053359766,0.28
popularity,mode,0.05804027844115134,0.06
popularity,speechiness,-0.0697796205119397,-0.07
popularity,acousticness,-0.03278877171737736,-0.03
popularity,instrumentalness,-0.09842331751494533,-0.10
popularity,liveness,0.053213925937775464,0.05
popularity,valence,0.059485163927055974,0.06
popularity,tempo,0.026416037809129846,0.03
popularity,popularity,1.0,1.00
popularity,cluster,0.06445955074401176,0.06
popularity,pl_count,0.41058891305445344,0.41
pl_count,danceability,0.02341442035097557,0.02
pl_count,energy,0.057290219028490005,0.06
pl_count,key,-0.02828630029022434,-0.03
pl_count,loudness,0.10412319144443512,0.10
pl_count,mode,0.011045177475731638,0.01
pl_count,speechiness,-0.05234636038787728,-0.05
pl_count,acousticness,-0.0841116017048573,-0.08
pl_count,instrumentalness,-0.02143196081435112,-0.02
pl_count,liveness,-0.008098555179158645,-0.01
pl_count,valence,0.012344722212697367,0.01
pl_count,tempo,0.015834287889015787,0.02
pl_count,popularity,0.41058891305445344,0.41
pl_count,cluster,0.05672125985779592,0.06
pl_count,pl_count,1.0,1.00
